# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (0, 0)     -11.3117201388   [-4.4205377294619979, -0.21854995190391691]
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (1, 0)     -17.3386128504   [-9.4645944655953667, 2.5236653423740893]
  (0, 1)     -5.13440709222   [-1.1846232050084282, 1.1303429131426235]
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (2, 0)     -17.5764112139   [-9.4998383688310959, 3.5336653423840891]
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (3, 0)     -18.1217634531   [-9.4999982559977258, 5.5353247524908982]
  (1, 1)     -18.7032592998   [-8.4978277502716075, 8.5277575590117625]
  (0, 2)     -6.36506706141   [0.81832573915218276, 2.1061924100095268]
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (4, 0)     -18.7461728032   [-9.4999999906174448, 7.5411136360973785]
  (0, 3)     -16.565824394   [-7.3154039383377878, 6.1869518378304758]
  (2, 1)     -18.7146522578   [-8.5492499427050639, 8.5483708817111754]
  (1, 2)     -18.6592683984   [9.3921003602320869, 7.537367431268466]
  (0, 4)     -15.8090381546   [7.7287039503932853, -2.4957298100469023]
  (3, 1)     -18.7146554172   [-8.548338247305427, 8.5483409866386086]
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (1, 3)     -18.3456657328   [-7.5374985539128305, 8.5450982122375656]
  (2, 2)     -19.0596130919   [9.4985315330334696, 8.5473674312784667]
  (1, 4)     -17.3621502033   [9.4926359540634966, -2.5248974728746143]
  (5, 0)     -19.0602079357   [-9.4999999999224602, 8.5411136360973785]
  (2, 3)     -18.7146426967   [-8.5465094127704475, 8.5484271742574478]
  (0, 5)     -17.0699844758   [-7.5343356203217553, -6.2395317699936026]
# Thu Jul  9 01:44:57 2015
# ___#___  __ChiSq__  __params__
  (3, 2)     -19.0602124321   [9.4999921224301094, 8.5425192732539568]
